elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
5016024,22750,20270,-4506,39,-12,48,-0.976292,2.285800,1.754848
5031651,22998,20204,-4542,-41,-22,13,-0.977675,2.285726,1.756945
5047278,23054,20076,-4492,-96,0,-10,-0.977332,2.286316,1.756688
5062904,23074,19950,-4470,-106,30,-20,-0.976793,2.286575,1.755913
5078530,22946,19930,-4592,-91,52,-21,-0.975994,2.286849,1.754982
5094156,22852,19994,-4498,-45,51,-12,-0.974279,2.287421,1.752918
5109782,22888,20096,-4494,-1,43,-3,-0.973422,2.287769,1.752079
5125408,22862,20140,-4296,-4,45,-2,-0.973230,2.288069,1.752233
5141035,22828,20018,-4162,-5,43,8,-0.972755,2.288219,1.752035
5156661,22716,19942,-4228,-31,33,15,-0.972541,2.288215,1.751708
5172287,22736,19972,-4368,-56,19,2,-0.972192,2.288298,1.751164
5187913,22912,20080,-4596,-45,13,-4,-0.971917,2.288497,1.750918
5203540,23028,20292,-4506,-47,19,3,-0.971653,2.288904,1.750960
5219167,23088,20212,-4418,-76,31,14,-0.971076,2.289139,1.750271
5234793,22890,19936,-4222,-96,39,7,-0.970957,2.289042,1.749682
5250420,22752,19752,-4084,-89,31,-3,-0.969531,2.289180,1.747580
5266051,22706,19732,-4366,-48,14,-1,-0.969165,2.289167,1.746842
5281677,22840,19852,-4518,4,-1,17,-0.969116,2.289326,1.746835
5297303,23014,20096,-4434,40,-4,33,-0.969775,2.289181,1.747632
5312928,23090,20098,-4336,21,11,21,-0.971407,2.288952,1.749866
5328555,22968,20136,-4236,-15,36,-1,-0.971849,2.288804,1.750338
5344182,22664,20044,-4272,-44,37,-3,-0.971370,2.289095,1.749961
5359809,22690,20022,-4262,-36,8,4,-0.970573,2.289465,1.749228
5375436,23050,19970,-4426,-15,-9,1,-0.970496,2.289599,1.749304
5391062,23196,20012,-4584,-15,12,-7,-0.970992,2.289892,1.750265
5406687,23072,20006,-4514,-31,47,-12,-0.971018,2.290056,1.750463
5422314,22888,20096,-4350,-26,63,-6,-0.970420,2.290249,1.749960
5437941,22662,20108,-4370,-11,51,4,-0.969914,2.290376,1.749385
5453567,22580,20028,-4348,-18,29,3,-0.969328,2.290665,1.749076
5469193,22792,19932,-4348,-30,12,-1,-0.969203,2.290847,1.749053
5484819,22888,19940,-4332,-15,23,-9,-0.968986,2.291094,1.749102
5500446,22816,19998,-4250,2,32,-4,-0.968872,2.291372,1.749273
5516071,22738,19958,-4306,-1,20,6,-0.968884,2.291468,1.749467
